unix,date,open,high,low,close,Volume USDT
1759680000000,2025-10-05 16:00:00,122803.17000000,123464.00000000,122301.63000000,122591.79000000,293327214.60724370
1759665600000,2025-10-05 12:00:00,123464.64000000,123464.65000000,122675.00000000,122803.17000000,274872969.06457120
1759651200000,2025-10-05 08:00:00,124713.63000000,124838.37000000,122520.24000000,123464.64000000,550076667.52752170
1759636800000,2025-10-05 04:00:00,123776.23000000,125708.42000000,123734.00000000,124713.63000000,918195583.57300200
1759622400000,2025-10-05 00:00:00,122390.99000000,124362.28000000,122136.00000000,123776.22000000,520334194.48993320
1759608000000,2025-10-04 20:00:00,121959.25000000,122410.00000000,121871.01000000,122391.00000000,95937431.49018200
1759593600000,2025-10-04 16:00:00,121791.31000000,121964.95000000,121510.00000000,121959.25000000,175708446.32154880
1759579200000,2025-10-04 12:00:00,121973.26000000,122509.52000000,121698.88000000,121791.31000000,178686185.50319400
1759564800000,2025-10-04 08:00:00,122324.08000000,122539.83000000,121962.81000000,121973.26000000,155133843.53270200
1759550400000,2025-10-04 04:00:00,122243.99000000,122800.00000000,122219.30000000,122324.08000000,185707032.54270780
1759536000000,2025-10-04 00:00:00,122232.21000000,122325.60000000,121684.97000000,122243.99000000,211099963.95431260
1759521600000,2025-10-03 20:00:00,122661.00000000,122734.92000000,121999.33000000,122232.00000000,187092133.28504430
1759507200000,2025-10-03 16:00:00,122258.04000000,123894.99000000,121466.25000000,122660.99000000,1159833334.65435830
